month,stage,protein,product,price_per_unit,uom,normalised_price,normalised_uom
2019-03,retail,pork,"Pork shoulder cuts, per kilogram",5.48,Dollars,5.48,Dollars
2019-03,retail,chicken,"Whole chicken, per kilogram",5.51,Dollars,5.51,Dollars
2019-03,retail,chicken,"Chicken breasts, per kilogram",10.16,Dollars,10.16,Dollars
2019-03,retail,chicken,"Chicken thigh, per kilogram",9.0,Dollars,9.0,Dollars
2019-03,retail,chicken,"Chicken drumsticks, per kilogram",6.03,Dollars,6.03,Dollars
2019-03,retail,pork,"Bacon, 500 grams",5.41,Dollars,10.82,Dollars per kg
2019-03,retail,milk,"Milk, 1 litre",2.94,Dollars,2.94,Dollars per litre
2019-03,retail,milk,"Milk, 2 litres",4.52,Dollars,2.26,Dollars per litre
2019-03,retail,milk,"Milk, 4 litres",4.83,Dollars,1.21,Dollars per litre
2019-03,retail,egg,"Eggs, 1 dozen",3.12,Dollars,3.12,Dollars
2019-04,farm,beef,Steers for slaughter [111111113],142.53,Dollars per hundredweight,3.14,Dollars per kg
2019-04,farm,beef,Heifers for slaughter [111111114],135.98,Dollars per hundredweight,3.0,Dollars per kg
2019-04,farm,pork,Hogs [111121],103.3,Dollars per hundredweight,2.28,Dollars per kg
2019-04,farm,chicken,Chickens for meat [11113131],2.03,Dollars per kilogram,2.03,Dollars per kilogram
2019-04,farm,milk,Unprocessed milk from bovine [11612111],728.85,Dollars per kilolitre,0.73,Dollars per litre
2019-04,farm,egg,Eggs in shell [116111],1.55,Dollars per dozen,1.55,Dollars per dozen
2019-04,retail,beef,"Beef stewing cuts, per kilogram",13.95,Dollars,13.95,Dollars
2019-04,retail,beef,"Beef striploin cuts, per kilogram",15.94,Dollars,15.94,Dollars
2019-04,retail,beef,"Beef top sirloin cuts, per kilogram",13.58,Dollars,13.58,Dollars
2019-04,retail,beef,"Beef rib cuts, per kilogram",16.48,Dollars,16.48,Dollars
2019-04,retail,beef,"Ground beef, per kilogram",9.32,Dollars,9.32,Dollars
2019-04,retail,pork,"Pork loin cuts, per kilogram",7.6,Dollars,7.6,Dollars
2019-04,retail,pork,"Pork rib cuts, per kilogram",7.86,Dollars,7.86,Dollars
2019-04,retail,pork,"Pork shoulder cuts, per kilogram",8.22,Dollars,8.22,Dollars
2019-04,retail,chicken,"Whole chicken, per kilogram",5.15,Dollars,5.15,Dollars
2019-04,retail,chicken,"Chicken breasts, per kilogram",10.76,Dollars,10.76,Dollars
2019-04,retail,chicken,"Chicken thigh, per kilogram",10.21,Dollars,10.21,Dollars
2019-04,retail,chicken,"Chicken drumsticks, per kilogram",7.0,Dollars,7.0,Dollars
2019-04,retail,pork,"Bacon, 500 grams",5.89,Dollars,11.78,Dollars per kg
2019-04,retail,milk,"Milk, 1 litre",2.99,Dollars,2.99,Dollars per litre
2019-04,retail,milk,"Milk, 2 litres",4.46,Dollars,2.23,Dollars per litre
2019-04,retail,milk,"Milk, 4 litres",4.85,Dollars,1.21,Dollars per litre
2019-04,retail,egg,"Eggs, 1 dozen",3.2,Dollars,3.2,Dollars
2019-05,farm,beef,Steers for slaughter [111111113],145.64,Dollars per hundredweight,3.21,Dollars per kg
2019-05,farm,beef,Heifers for slaughter [111111114],143.46,Dollars per hundredweight,3.16,Dollars per kg
2019-05,farm,pork,Hogs [111121],108.66,Dollars per hundredweight,2.4,Dollars per kg
2019-05,farm,chicken,Chickens for meat [11113131],2.06,Dollars per kilogram,2.06,Dollars per kilogram
2019-05,farm,milk,Unprocessed milk from bovine [11612111],726.21,Dollars per kilolitre,0.73,Dollars per litre
2019-05,farm,egg,Eggs in shell [116111],1.55,Dollars per dozen,1.55,Dollars per dozen
2019-05,retail,beef,"Beef stewing cuts, per kilogram",14.64,Dollars,14.64,Dollars
2019-05,retail,beef,"Beef striploin cuts, per kilogram",17.99,Dollars,17.99,Dollars
2019-05,retail,beef,"Beef top sirloin cuts, per kilogram",16.82,Dollars,16.82,Dollars
2019-05,retail,beef,"Beef rib cuts, per kilogram",23.76,Dollars,23.76,Dollars
2019-05,retail,beef,"Ground beef, per kilogram",9.33,Dollars,9.33,Dollars
2019-05,retail,pork,"Pork loin cuts, per kilogram",8.09,Dollars,8.09,Dollars
2019-05,retail,pork,"Pork rib cuts, per kilogram",8.85,Dollars,8.85,Dollars
2019-05,retail,pork,"Pork shoulder cuts, per kilogram",8.18,Dollars,8.18,Dollars
2019-05,retail,chicken,"Whole chicken, per kilogram",5.65,Dollars,5.65,Dollars
2019-05,retail,chicken,"Chicken breasts, per kilogram",10.53,Dollars,10.53,Dollars
2019-05,retail,chicken,"Chicken thigh, per kilogram",9.29,Dollars,9.29,Dollars
2019-05,retail,chicken,"Chicken drumsticks, per kilogram",6.31,Dollars,6.31,Dollars
2019-05,retail,pork,"Bacon, 500 grams",5.44,Dollars,10.88,Dollars per kg
2019-05,retail,milk,"Milk, 1 litre",2.94,Dollars,2.94,Dollars per litre
2019-05,retail,milk,"Milk, 2 litres",4.55,Dollars,2.27,Dollars per litre
2019-05,retail,milk,"Milk, 4 litres",4.85,Dollars,1.21,Dollars per litre
2019-05,retail,egg,"Eggs, 1 dozen",3.25,Dollars,3.25,Dollars
2019-06,farm,beef,Steers for slaughter [111111113],142.06,Dollars per hundredweight,3.13,Dollars per kg
2019-06,farm,beef,Heifers for slaughter [111111114],139.8,Dollars per hundredweight,3.08,Dollars per kg
2019-06,farm,pork,Hogs [111121],102.08,Dollars per hundredweight,2.25,Dollars per kg
2019-06,farm,chicken,Chickens for meat [11113131],2.05,Dollars per kilogram,2.05,Dollars per kilogram
2019-06,farm,milk,Unprocessed milk from bovine [11612111],716.1,Dollars per kilolitre,0.72,Dollars per litre
2019-06,farm,egg,Eggs in shell [116111],1.52,Dollars per dozen,1.52,Dollars per dozen
2019-06,retail,beef,"Beef stewing cuts, per kilogram",14.92,Dollars,14.92,Dollars
2019-06,retail,beef,"Beef striploin cuts, per kilogram",19.19,Dollars,19.19,Dollars
2019-06,retail,beef,"Beef top sirloin cuts, per kilogram",15.68,Dollars,15.68,Dollars
2019-06,retail,beef,"Beef rib cuts, per kilogram",21.14,Dollars,21.14,Dollars
2019-06,retail,beef,"Ground beef, per kilogram",9.53,Dollars,9.53,Dollars
2019-06,retail,pork,"Pork loin cuts, per kilogram",8.86,Dollars,8.86,Dollars
2019-06,retail,pork,"Pork rib cuts, per kilogram",8.92,Dollars,8.92,Dollars
2019-06,retail,pork,"Pork shoulder cuts, per kilogram",9.25,Dollars,9.25,Dollars
2019-06,retail,chicken,"Whole chicken, per kilogram",5.19,Dollars,5.19,Dollars
