month,stage,protein,product,price_per_unit,uom,normalised_price,normalised_uom
2020-02,farm,beef,Steers for slaughter [111111113],148.49,Dollars per hundredweight,3.27,Dollars per kg
2020-02,farm,beef,Heifers for slaughter [111111114],147.5,Dollars per hundredweight,3.25,Dollars per kg
2020-02,farm,pork,Hogs [111121],81.01,Dollars per hundredweight,1.79,Dollars per kg
2020-02,farm,chicken,Chickens for meat [11113131],2.1,Dollars per kilogram,2.1,Dollars per kilogram
2020-02,farm,milk,Unprocessed milk from bovine [11612111],773.22,Dollars per kilolitre,0.77,Dollars per litre
2020-02,farm,egg,Eggs in shell [116111],1.52,Dollars per dozen,1.52,Dollars per dozen
2020-02,retail,beef,"Beef stewing cuts, per kilogram",14.65,Dollars,14.65,Dollars
2020-02,retail,beef,"Beef striploin cuts, per kilogram",19.5,Dollars,19.5,Dollars
2020-02,retail,beef,"Beef top sirloin cuts, per kilogram",13.43,Dollars,13.43,Dollars
2020-02,retail,beef,"Beef rib cuts, per kilogram",26.44,Dollars,26.44,Dollars
2020-02,retail,beef,"Ground beef, per kilogram",9.54,Dollars,9.54,Dollars
2020-02,retail,pork,"Pork loin cuts, per kilogram",9.12,Dollars,9.12,Dollars
2020-02,retail,pork,"Pork rib cuts, per kilogram",6.84,Dollars,6.84,Dollars
2020-02,retail,pork,"Pork shoulder cuts, per kilogram",3.13,Dollars,3.13,Dollars
2020-02,retail,chicken,"Whole chicken, per kilogram",5.73,Dollars,5.73,Dollars
2020-02,retail,chicken,"Chicken breasts, per kilogram",12.41,Dollars,12.41,Dollars
2020-02,retail,chicken,"Chicken thigh, per kilogram",10.93,Dollars,10.93,Dollars
2020-02,retail,chicken,"Chicken drumsticks, per kilogram",7.29,Dollars,7.29,Dollars
2020-02,retail,pork,"Bacon, 500 grams",5.23,Dollars,10.46,Dollars per kg
2020-02,retail,milk,"Milk, 1 litre",3.07,Dollars,3.07,Dollars per litre
2020-02,retail,milk,"Milk, 2 litres",4.68,Dollars,2.34,Dollars per litre
2020-02,retail,milk,"Milk, 4 litres",4.96,Dollars,1.24,Dollars per litre
2020-02,retail,egg,"Eggs, 1 dozen",3.38,Dollars,3.38,Dollars
2020-03,farm,beef,Steers for slaughter [111111113],139.37,Dollars per hundredweight,3.07,Dollars per kg
2020-03,farm,beef,Heifers for slaughter [111111114],141.14,Dollars per hundredweight,3.11,Dollars per kg
2020-03,farm,pork,Hogs [111121],80.29,Dollars per hundredweight,1.77,Dollars per kg
2020-03,farm,chicken,Chickens for meat [11113131],2.09,Dollars per kilogram,2.09,Dollars per kilogram
2020-03,farm,milk,Unprocessed milk from bovine [11612111],771.34,Dollars per kilolitre,0.77,Dollars per litre
2020-03,farm,egg,Eggs in shell [116111],1.52,Dollars per dozen,1.52,Dollars per dozen
2020-03,retail,beef,"Beef stewing cuts, per kilogram",15.38,Dollars,15.38,Dollars
2020-03,retail,beef,"Beef striploin cuts, per kilogram",20.24,Dollars,20.24,Dollars
2020-03,retail,beef,"Beef top sirloin cuts, per kilogram",16.47,Dollars,16.47,Dollars
2020-03,retail,beef,"Beef rib cuts, per kilogram",20.5,Dollars,20.5,Dollars
2020-03,retail,beef,"Ground beef, per kilogram",10.01,Dollars,10.01,Dollars
2020-03,retail,pork,"Pork loin cuts, per kilogram",7.84,Dollars,7.84,Dollars
2020-03,retail,pork,"Pork rib cuts, per kilogram",8.41,Dollars,8.41,Dollars
2020-03,retail,pork,"Pork shoulder cuts, per kilogram",6.52,Dollars,6.52,Dollars
2020-03,retail,chicken,"Whole chicken, per kilogram",5.51,Dollars,5.51,Dollars
2020-03,retail,chicken,"Chicken breasts, per kilogram",12.9,Dollars,12.9,Dollars
2020-03,retail,chicken,"Chicken thigh, per kilogram",8.5,Dollars,8.5,Dollars
2020-03,retail,chicken,"Chicken drumsticks, per kilogram",5.71,Dollars,5.71,Dollars
2020-03,retail,pork,"Bacon, 500 grams",5.77,Dollars,11.54,Dollars per kg
2020-03,retail,milk,"Milk, 1 litre",3.06,Dollars,3.06,Dollars per litre
2020-03,retail,milk,"Milk, 2 litres",4.73,Dollars,2.37,Dollars per litre
2020-03,retail,milk,"Milk, 4 litres",5.02,Dollars,1.25,Dollars per litre
2020-03,retail,egg,"Eggs, 1 dozen",3.43,Dollars,3.43,Dollars
2020-04,farm,beef,Steers for slaughter [111111113],139.55,Dollars per hundredweight,3.08,Dollars per kg
2020-04,farm,beef,Heifers for slaughter [111111114],137.9,Dollars per hundredweight,3.04,Dollars per kg
2020-04,farm,pork,Hogs [111121],76.94,Dollars per hundredweight,1.7,Dollars per kg
2020-04,farm,chicken,Chickens for meat [11113131],2.11,Dollars per kilogram,2.11,Dollars per kilogram
2020-04,farm,milk,Unprocessed milk from bovine [11612111],725.97,Dollars per kilolitre,0.73,Dollars per litre
2020-04,farm,egg,Eggs in shell [116111],1.52,Dollars per dozen,1.52,Dollars per dozen
2020-04,retail,beef,"Beef stewing cuts, per kilogram",14.95,Dollars,14.95,Dollars
2020-04,retail,beef,"Beef striploin cuts, per kilogram",18.3,Dollars,18.3,Dollars
2020-04,retail,beef,"Beef top sirloin cuts, per kilogram",13.78,Dollars,13.78,Dollars
2020-04,retail,beef,"Beef rib cuts, per kilogram",17.35,Dollars,17.35,Dollars
2020-04,retail,beef,"Ground beef, per kilogram",11.05,Dollars,11.05,Dollars
2020-04,retail,pork,"Pork loin cuts, per kilogram",8.0,Dollars,8.0,Dollars
2020-04,retail,pork,"Pork rib cuts, per kilogram",9.04,Dollars,9.04,Dollars
2020-04,retail,pork,"Pork shoulder cuts, per kilogram",6.94,Dollars,6.94,Dollars
2020-04,retail,chicken,"Whole chicken, per kilogram",5.52,Dollars,5.52,Dollars
2020-04,retail,chicken,"Chicken breasts, per kilogram",12.66,Dollars,12.66,Dollars
2020-04,retail,chicken,"Chicken thigh, per kilogram",10.62,Dollars,10.62,Dollars
2020-04,retail,chicken,"Chicken drumsticks, per kilogram",6.95,Dollars,6.95,Dollars
2020-04,retail,pork,"Bacon, 500 grams",6.11,Dollars,12.22,Dollars per kg
2020-04,retail,milk,"Milk, 1 litre",3.15,Dollars,3.15,Dollars per litre
2020-04,retail,milk,"Milk, 2 litres",4.79,Dollars,2.4,Dollars per litre
2020-04,retail,milk,"Milk, 4 litres",5.02,Dollars,1.25,Dollars per litre
2020-04,retail,egg,"Eggs, 1 dozen",3.53,Dollars,3.53,Dollars
2020-05,farm,beef,Steers for slaughter [111111113],149.61,Dollars per hundredweight,3.3,Dollars per kg
2020-05,farm,beef,Heifers for slaughter [111111114],148.32,Dollars per hundredweight,3.27,Dollars per kg
2020-05,farm,pork,Hogs [111121],92.18,Dollars per hundredweight,2.03,Dollars per kg
2020-05,farm,chicken,Chickens for meat [11113131],2.16,Dollars per kilogram,2.16,Dollars per kilogram
2020-05,farm,milk,Unprocessed milk from bovine [11612111],699.75,Dollars per kilolitre,0.7,Dollars per litre
2020-05,farm,egg,Eggs in shell [116111],1.52,Dollars per dozen,1.52,Dollars per dozen
2020-05,retail,beef,"Beef stewing cuts, per kilogram",18.25,Dollars,18.25,Dollars
2020-05,retail,beef,"Beef striploin cuts, per kilogram",21.32,Dollars,21.32,Dollars
2020-05,retail,beef,"Beef top sirloin cuts, per kilogram",16.85,Dollars,16.85,Dollars
2020-05,retail,beef,"Beef rib cuts, per kilogram",23.21,Dollars,23.21,Dollars
2020-05,retail,beef,"Ground beef, per kilogram",12.04,Dollars,12.04,Dollars
2020-05,retail,pork,"Pork loin cuts, per kilogram",8.24,Dollars,8.24,Dollars
2020-05,retail,pork,"Pork rib cuts, per kilogram",9.38,Dollars,9.38,Dollars
2020-05,retail,pork,"Pork shoulder cuts, per kilogram",4.66,Dollars,4.66,Dollars
2020-05,retail,chicken,"Whole chicken, per kilogram",5.47,Dollars,5.47,Dollars
2020-05,retail,chicken,"Chicken breasts, per kilogram",10.59,Dollars,10.59,Dollars
2020-05,retail,chicken,"Chicken thigh, per kilogram",10.05,Dollars,10.05,Dollars
2020-05,retail,chicken,"Chicken drumsticks, per kilogram",6.76,Dollars,6.76,Dollars
2020-05,retail,pork,"Bacon, 500 grams",5.75,Dollars,11.5,Dollars per kg
2020-05,retail,milk,"Milk, 1 litre",3.14,Dollars,3.14,Dollars per litre
2020-05,retail,milk,"Milk, 2 litres",4.83,Dollars,2.42,Dollars per litre
2020-05,retail,milk,"Milk, 4 litres",5.0,Dollars,1.25,Dollars per litre
2020-05,retail,egg,"Eggs, 1 dozen",3.53,Dollars,3.53,Dollars
2020-06,farm,beef,Steers for slaughter [111111113],157.82,Dollars per hundredweight,3.48,Dollars per kg
2020-06,farm,beef,Heifers for slaughter [111111114],148.65,Dollars per hundredweight,3.28,Dollars per kg
2020-06,farm,pork,Hogs [111121],83.48,Dollars per hundredweight,1.84,Dollars per kg
2020-06,farm,chicken,Chickens for meat [11113131],2.13,Dollars per kilogram,2.13,Dollars per kilogram
2020-06,farm,milk,Unprocessed milk from bovine [11612111],700.21,Dollars per kilolitre,0.7,Dollars per litre
2020-06,farm,egg,Eggs in shell [116111],1.52,Dollars per dozen,1.52,Dollars per dozen
2020-06,retail,beef,"Beef stewing cuts, per kilogram",19.39,Dollars,19.39,Dollars
2020-06,retail,beef,"Beef striploin cuts, per kilogram",34.02,Dollars,34.02,Dollars
2020-06,retail,beef,"Beef top sirloin cuts, per kilogram",20.74,Dollars,20.74,Dollars
2020-06,retail,beef,"Beef rib cuts, per kilogram",22.54,Dollars,22.54,Dollars
2020-06,retail,beef,"Ground beef, per kilogram",11.12,Dollars,11.12,Dollars
2020-06,retail,pork,"Pork loin cuts, per kilogram",9.44,Dollars,9.44,Dollars
2020-06,retail,pork,"Pork rib cuts, per kilogram",10.12,Dollars,10.12,Dollars
2020-06,retail,pork,"Pork shoulder cuts, per kilogram",4.3,Dollars,4.3,Dollars
2020-06,retail,chicken,"Whole chicken, per kilogram",5.2,Dollars,5.2,Dollars
2020-06,retail,chicken,"Chicken breasts, per kilogram",11.18,Dollars,11.18,Dollars
2020-06,retail,chicken,"Chicken thigh, per kilogram",10.26,Dollars,10.26,Dollars
2020-06,retail,chicken,"Chicken drumsticks, per kilogram",6.6,Dollars,6.6,Dollars
2020-06,retail,pork,"Bacon, 500 grams",5.79,Dollars,11.58,Dollars per kg
2020-06,retail,milk,"Milk, 1 litre",3.14,Dollars,3.14,Dollars per litre
2020-06,retail,milk,"Milk, 2 litres",4.75,Dollars,2.38,Dollars per litre
2020-06,retail,milk,"Milk, 4 litres",5.01,Dollars,1.25,Dollars per litre
2020-06,retail,egg,"Eggs, 1 dozen",3.52,Dollars,3.52,Dollars
2020-07,farm,beef,Steers for slaughter [111111113],144.45,Dollars per hundredweight,3.18,Dollars per kg
2020-07,farm,beef,Heifers for slaughter [111111114],142.8,Dollars per hundredweight,3.15,Dollars per kg
2020-07,farm,pork,Hogs [111121],77.19,Dollars per hundredweight,1.7,Dollars per kg
2020-07,farm,chicken,Chickens for meat [11113131],2.12,Dollars per kilogram,2.12,Dollars per kilogram
2020-07,farm,milk,Unprocessed milk from bovine [11612111],684.4,Dollars per kilolitre,0.68,Dollars per litre
2020-07,farm,egg,Eggs in shell [116111],1.52,Dollars per dozen,1.52,Dollars per dozen
2020-07,retail,beef,"Beef stewing cuts, per kilogram",18.31,Dollars,18.31,Dollars
2020-07,retail,beef,"Beef striploin cuts, per kilogram",21.63,Dollars,21.63,Dollars
2020-07,retail,beef,"Beef top sirloin cuts, per kilogram",16.31,Dollars,16.31,Dollars
2020-07,retail,beef,"Beef rib cuts, per kilogram",23.95,Dollars,23.95,Dollars
2020-07,retail,beef,"Ground beef, per kilogram",10.33,Dollars,10.33,Dollars
2020-07,retail,pork,"Pork loin cuts, per kilogram",7.89,Dollars,7.89,Dollars
2020-07,retail,pork,"Pork rib cuts, per kilogram",10.15,Dollars,10.15,Dollars
2020-07,retail,pork,"Pork shoulder cuts, per kilogram",4.36,Dollars,4.36,Dollars
2020-07,retail,chicken,"Whole chicken, per kilogram",5.32,Dollars,5.32,Dollars
2020-07,retail,chicken,"Chicken breasts, per kilogram",11.76,Dollars,11.76,Dollars
2020-07,retail,chicken,"Chicken thigh, per kilogram",10.1,Dollars,10.1,Dollars
2020-07,retail,chicken,"Chicken drumsticks, per kilogram",6.91,Dollars,6.91,Dollars
2020-07,retail,pork,"Bacon, 500 grams",6.07,Dollars,12.14,Dollars per kg
2020-07,retail,milk,"Milk, 1 litre",3.12,Dollars,3.12,Dollars per litre
2020-07,retail,milk,"Milk, 2 litres",4.79,Dollars,2.4,Dollars per litre
2020-07,retail,milk,"Milk, 4 litres",4.98,Dollars,1.25,Dollars per litre
2020-07,retail,egg,"Eggs, 1 dozen",3.62,Dollars,3.62,Dollars
2020-08,farm,beef,Steers for slaughter [111111113],143.56,Dollars per hundredweight,3.16,Dollars per kg
2020-08,farm,beef,Heifers for slaughter [111111114],141.99,Dollars per hundredweight,3.13,Dollars per kg
2020-08,farm,pork,Hogs [111121],80.27,Dollars per hundredweight,1.77,Dollars per kg
2020-08,farm,chicken,Chickens for meat [11113131],2.11,Dollars per kilogram,2.11,Dollars per kilogram
2020-08,farm,milk,Unprocessed milk from bovine [11612111],725.35,Dollars per kilolitre,0.73,Dollars per litre
2020-08,farm,egg,Eggs in shell [116111],1.62,Dollars per dozen,1.62,Dollars per dozen
2020-08,retail,beef,"Beef stewing cuts, per kilogram",15.84,Dollars,15.84,Dollars
2020-08,retail,beef,"Beef striploin cuts, per kilogram",24.57,Dollars,24.57,Dollars
2020-08,retail,beef,"Beef top sirloin cuts, per kilogram",13.98,Dollars,13.98,Dollars
2020-08,retail,beef,"Beef rib cuts, per kilogram",25.74,Dollars,25.74,Dollars
2020-08,retail,beef,"Ground beef, per kilogram",8.81,Dollars,8.81,Dollars
2020-08,retail,pork,"Pork loin cuts, per kilogram",7.98,Dollars,7.98,Dollars
2020-08,retail,pork,"Pork rib cuts, per kilogram",9.25,Dollars,9.25,Dollars
2020-08,retail,pork,"Pork shoulder cuts, per kilogram",5.15,Dollars,5.15,Dollars
2020-08,retail,chicken,"Whole chicken, per kilogram",5.98,Dollars,5.98,Dollars
2020-08,retail,chicken,"Chicken breasts, per kilogram",11.28,Dollars,11.28,Dollars
2020-08,retail,chicken,"Chicken thigh, per kilogram",9.98,Dollars,9.98,Dollars
2020-08,retail,chicken,"Chicken drumsticks, per kilogram",6.53,Dollars,6.53,Dollars
2020-08,retail,pork,"Bacon, 500 grams",5.86,Dollars,11.72,Dollars per kg
2020-08,retail,milk,"Milk, 1 litre",3.11,Dollars,3.11,Dollars per litre
2020-08,retail,milk,"Milk, 2 litres",4.76,Dollars,2.38,Dollars per litre
2020-08,retail,milk,"Milk, 4 litres",4.95,Dollars,1.24,Dollars per litre
2020-08,retail,egg,"Eggs, 1 dozen",3.68,Dollars,3.68,Dollars
2020-09,farm,beef,Steers for slaughter [111111113],138.76,Dollars per hundredweight,3.06,Dollars per kg
2020-09,farm,beef,Heifers for slaughter [111111114],137.7,Dollars per hundredweight,3.04,Dollars per kg
2020-09,farm,pork,Hogs [111121],90.56,Dollars per hundredweight,2.0,Dollars per kg
2020-09,farm,chicken,Chickens for meat [11113131],2.07,Dollars per kilogram,2.07,Dollars per kilogram
2020-09,farm,milk,Unprocessed milk from bovine [11612111],745.68,Dollars per kilolitre,0.75,Dollars per litre
2020-09,farm,egg,Eggs in shell [116111],1.62,Dollars per dozen,1.62,Dollars per dozen
2020-09,retail,beef,"Beef stewing cuts, per kilogram",14.52,Dollars,14.52,Dollars
2020-09,retail,beef,"Beef striploin cuts, per kilogram",19.17,Dollars,19.17,Dollars
2020-09,retail,beef,"Beef top sirloin cuts, per kilogram",12.83,Dollars,12.83,Dollars
2020-09,retail,beef,"Beef rib cuts, per kilogram",25.42,Dollars,25.42,Dollars
2020-09,retail,beef,"Ground beef, per kilogram",9.01,Dollars,9.01,Dollars
2020-09,retail,pork,"Pork loin cuts, per kilogram",9.19,Dollars,9.19,Dollars
2020-09,retail,pork,"Pork rib cuts, per kilogram",9.35,Dollars,9.35,Dollars
2020-09,retail,pork,"Pork shoulder cuts, per kilogram",6.31,Dollars,6.31,Dollars
2020-09,retail,chicken,"Whole chicken, per kilogram",5.86,Dollars,5.86,Dollars
2020-09,retail,chicken,"Chicken breasts, per kilogram",11.84,Dollars,11.84,Dollars
2020-09,retail,chicken,"Chicken thigh, per kilogram",8.96,Dollars,8.96,Dollars
2020-09,retail,chicken,"Chicken drumsticks, per kilogram",5.77,Dollars,5.77,Dollars
2020-09,retail,pork,"Bacon, 500 grams",5.67,Dollars,11.34,Dollars per kg
2020-09,retail,milk,"Milk, 1 litre",3.12,Dollars,3.12,Dollars per litre
2020-09,retail,milk,"Milk, 2 litres",4.76,Dollars,2.38,Dollars per litre
2020-09,retail,milk,"Milk, 4 litres",4.99,Dollars,1.25,Dollars per litre
2020-09,retail,egg,"Eggs, 1 dozen",3.71,Dollars,3.71,Dollars
2020-10,farm,beef,Steers for slaughter [111111113],133.47,Dollars per hundredweight,2.94,Dollars per kg
2020-10,farm,beef,Heifers for slaughter [111111114],127.86,Dollars per hundredweight,2.82,Dollars per kg
2020-10,farm,pork,Hogs [111121],106.59,Dollars per hundredweight,2.35,Dollars per kg
2020-10,farm,chicken,Chickens for meat [11113131],2.09,Dollars per kilogram,2.09,Dollars per kilogram
2020-10,farm,milk,Unprocessed milk from bovine [11612111],774.12,Dollars per kilolitre,0.77,Dollars per litre
2020-10,farm,egg,Eggs in shell [116111],1.62,Dollars per dozen,1.62,Dollars per dozen
2020-10,retail,beef,"Beef stewing cuts, per kilogram",15.21,Dollars,15.21,Dollars
2020-10,retail,beef,"Beef striploin cuts, per kilogram",21.44,Dollars,21.44,Dollars
2020-10,retail,beef,"Beef top sirloin cuts, per kilogram",10.91,Dollars,10.91,Dollars
2020-10,retail,beef,"Beef rib cuts, per kilogram",15.6,Dollars,15.6,Dollars
2020-10,retail,beef,"Ground beef, per kilogram",9.44,Dollars,9.44,Dollars
2020-10,retail,pork,"Pork loin cuts, per kilogram",6.8,Dollars,6.8,Dollars
2020-10,retail,pork,"Pork rib cuts, per kilogram",10.5,Dollars,10.5,Dollars
2020-10,retail,pork,"Pork shoulder cuts, per kilogram",6.77,Dollars,6.77,Dollars
2020-10,retail,chicken,"Whole chicken, per kilogram",5.3,Dollars,5.3,Dollars
2020-10,retail,chicken,"Chicken breasts, per kilogram",12.83,Dollars,12.83,Dollars
2020-10,retail,chicken,"Chicken thigh, per kilogram",9.06,Dollars,9.06,Dollars
2020-10,retail,chicken,"Chicken drumsticks, per kilogram",5.7,Dollars,5.7,Dollars
2020-10,retail,pork,"Bacon, 500 grams",5.62,Dollars,11.24,Dollars per kg
2020-10,retail,milk,"Milk, 1 litre",3.12,Dollars,3.12,Dollars per litre
2020-10,retail,milk,"Milk, 2 litres",4.79,Dollars,2.4,Dollars per litre
2020-10,retail,milk,"Milk, 4 litres",4.97,Dollars,1.24,Dollars per litre
2020-10,retail,egg,"Eggs, 1 dozen",3.75,Dollars,3.75,Dollars
2020-11,farm,beef,Steers for slaughter [111111113],133.54,Dollars per hundredweight,2.94,Dollars per kg
2020-11,farm,beef,Heifers for slaughter [111111114],131.09,Dollars per hundredweight,2.89,Dollars per kg
2020-11,farm,pork,Hogs [111121],96.99,Dollars per hundredweight,2.14,Dollars per kg
2020-11,farm,chicken,Chickens for meat [11113131],2.09,Dollars per kilogram,2.09,Dollars per kilogram
2020-11,farm,milk,Unprocessed milk from bovine [11612111],766.24,Dollars per kilolitre,0.77,Dollars per litre
2020-11,farm,egg,Eggs in shell [116111],1.62,Dollars per dozen,1.62,Dollars per dozen
2020-11,retail,beef,"Beef stewing cuts, per kilogram",15.75,Dollars,15.75,Dollars
2020-11,retail,beef,"Beef striploin cuts, per kilogram",18.59,Dollars,18.59,Dollars
2020-11,retail,beef,"Beef top sirloin cuts, per kilogram",14.45,Dollars,14.45,Dollars
2020-11,retail,beef,"Beef rib cuts, per kilogram",23.76,Dollars,23.76,Dollars
2020-11,retail,beef,"Ground beef, per kilogram",9.53,Dollars,9.53,Dollars
2020-11,retail,pork,"Pork loin cuts, per kilogram",7.46,Dollars,7.46,Dollars
2020-11,retail,pork,"Pork rib cuts, per kilogram",9.3,Dollars,9.3,Dollars
2020-11,retail,pork,"Pork shoulder cuts, per kilogram",7.01,Dollars,7.01,Dollars
2020-11,retail,chicken,"Whole chicken, per kilogram",5.31,Dollars,5.31,Dollars
2020-11,retail,chicken,"Chicken breasts, per kilogram",12.26,Dollars,12.26,Dollars
2020-11,retail,chicken,"Chicken thigh, per kilogram",11.27,Dollars,11.27,Dollars
2020-11,retail,chicken,"Chicken drumsticks, per kilogram",7.17,Dollars,7.17,Dollars
2020-11,retail,pork,"Bacon, 500 grams",6.45,Dollars,12.9,Dollars per kg
2020-11,retail,milk,"Milk, 1 litre",3.11,Dollars,3.11,Dollars per litre
2020-11,retail,milk,"Milk, 2 litres",4.67,Dollars,2.33,Dollars per litre
2020-11,retail,milk,"Milk, 4 litres",4.96,Dollars,1.24,Dollars per litre
2020-11,retail,egg,"Eggs, 1 dozen",3.76,Dollars,3.76,Dollars
2020-12,farm,beef,Steers for slaughter [111111113],128.2,Dollars per hundredweight,2.83,Dollars per kg
2020-12,farm,beef,Heifers for slaughter [111111114],124.04,Dollars per hundredweight,2.73,Dollars per kg
2020-12,farm,pork,Hogs [111121],86.37,Dollars per hundredweight,1.9,Dollars per kg
2020-12,farm,chicken,Chickens for meat [11113131],2.15,Dollars per kilogram,2.15,Dollars per kilogram
2020-12,farm,milk,Unprocessed milk from bovine [11612111],773.95,Dollars per kilolitre,0.77,Dollars per litre
2020-12,farm,egg,Eggs in shell [116111],1.62,Dollars per dozen,1.62,Dollars per dozen
2020-12,retail,beef,"Beef stewing cuts, per kilogram",15.22,Dollars,15.22,Dollars
2020-12,retail,beef,"Beef striploin cuts, per kilogram",20.14,Dollars,20.14,Dollars
2020-12,retail,beef,"Beef top sirloin cuts, per kilogram",11.43,Dollars,11.43,Dollars
2020-12,retail,beef,"Beef rib cuts, per kilogram",16.53,Dollars,16.53,Dollars
2020-12,retail,beef,"Ground beef, per kilogram",9.89,Dollars,9.89,Dollars
2020-12,retail,pork,"Pork loin cuts, per kilogram",8.22,Dollars,8.22,Dollars
2020-12,retail,pork,"Pork rib cuts, per kilogram",10.68,Dollars,10.68,Dollars
2020-12,retail,pork,"Pork shoulder cuts, per kilogram",5.14,Dollars,5.14,Dollars
2020-12,retail,chicken,"Whole chicken, per kilogram",6.99,Dollars,6.99,Dollars
2020-12,retail,chicken,"Chicken breasts, per kilogram",12.19,Dollars,12.19,Dollars
2020-12,retail,chicken,"Chicken thigh, per kilogram",8.75,Dollars,8.75,Dollars
2020-12,retail,chicken,"Chicken drumsticks, per kilogram",5.74,Dollars,5.74,Dollars
2020-12,retail,pork,"Bacon, 500 grams",6.36,Dollars,12.72,Dollars per kg
2020-12,retail,milk,"Milk, 1 litre",3.19,Dollars,3.19,Dollars per litre
2020-12,retail,milk,"Milk, 2 litres",4.78,Dollars,2.39,Dollars per litre
2020-12,retail,milk,"Milk, 4 litres",4.97,Dollars,1.24,Dollars per litre
2020-12,retail,egg,"Eggs, 1 dozen",3.75,Dollars,3.75,Dollars
2021-01,farm,beef,Steers for slaughter [111111113],138.37,Dollars per hundredweight,3.05,Dollars per kg
2021-01,farm,beef,Heifers for slaughter [111111114],136.97,Dollars per hundredweight,3.02,Dollars per kg
2021-01,farm,pork,Hogs [111121],83.63,Dollars per hundredweight,1.84,Dollars per kg
2021-01,farm,chicken,Chickens for meat [11113131],2.21,Dollars per kilogram,2.21,Dollars per kilogram
2021-01,farm,milk,Unprocessed milk from bovine [11612111],765.36,Dollars per kilolitre,0.77,Dollars per litre
2021-01,farm,egg,Eggs in shell [116111],1.62,Dollars per dozen,1.62,Dollars per dozen
2021-01,retail,beef,"Beef stewing cuts, per kilogram",15.19,Dollars,15.19,Dollars
2021-01,retail,beef,"Beef striploin cuts, per kilogram",20.66,Dollars,20.66,Dollars
2021-01,retail,beef,"Beef top sirloin cuts, per kilogram",13.88,Dollars,13.88,Dollars
2021-01,retail,beef,"Beef rib cuts, per kilogram",24.79,Dollars,24.79,Dollars
2021-01,retail,beef,"Ground beef, per kilogram",9.21,Dollars,9.21,Dollars
2021-01,retail,pork,"Pork loin cuts, per kilogram",9.02,Dollars,9.02,Dollars
2021-01,retail,pork,"Pork rib cuts, per kilogram",8.79,Dollars,8.79,Dollars
2021-01,retail,pork,"Pork shoulder cuts, per kilogram",3.71,Dollars,3.71,Dollars
2021-01,retail,chicken,"Whole chicken, per kilogram",5.14,Dollars,5.14,Dollars
2021-01,retail,chicken,"Chicken breasts, per kilogram",12.05,Dollars,12.05,Dollars
2021-01,retail,chicken,"Chicken thigh, per kilogram",10.44,Dollars,10.44,Dollars
2021-01,retail,chicken,"Chicken drumsticks, per kilogram",6.77,Dollars,6.77,Dollars
2021-01,retail,pork,"Bacon, 500 grams",6.01,Dollars,12.02,Dollars per kg
2021-01,retail,milk,"Milk, 1 litre",3.18,Dollars,3.18,Dollars per litre
2021-01,retail,milk,"Milk, 2 litres",4.78,Dollars,2.39,Dollars per litre
2021-01,retail,milk,"Milk, 4 litres",4.98,Dollars,1.25,Dollars per litre
2021-01,retail,egg,"Eggs, 1 dozen",3.77,Dollars,3.77,Dollars
2021-02,farm,beef,Steers for slaughter [111111113],140.98,Dollars per hundredweight,3.11,Dollars per kg
2021-02,farm,beef,Heifers for slaughter [111111114],139.99,Dollars per hundredweight,3.09,Dollars per kg
2021-02,farm,pork,Hogs [111121],91.21,Dollars per hundredweight,2.01,Dollars per kg
2021-02,farm,chicken,Chickens for meat [11113131],2.24,Dollars per kilogram,2.24,Dollars per kilogram
2021-02,farm,milk,Unprocessed milk from bovine [11612111],751.92,Dollars per kilolitre,0.75,Dollars per litre
2021-02,farm,egg,Eggs in shell [116111],1.62,Dollars per dozen,1.62,Dollars per dozen
2021-02,retail,beef,"Beef stewing cuts, per kilogram",15.2,Dollars,15.2,Dollars
2021-02,retail,beef,"Beef striploin cuts, per kilogram",20.7,Dollars,20.7,Dollars
2021-02,retail,beef,"Beef top sirloin cuts, per kilogram",13.52,Dollars,13.52,Dollars
2021-02,retail,beef,"Beef rib cuts, per kilogram",22.71,Dollars,22.71,Dollars
2021-02,retail,beef,"Ground beef, per kilogram",8.42,Dollars,8.42,Dollars
2021-02,retail,pork,"Pork loin cuts, per kilogram",8.07,Dollars,8.07,Dollars
2021-02,retail,pork,"Pork rib cuts, per kilogram",9.7,Dollars,9.7,Dollars
2021-02,retail,pork,"Pork shoulder cuts, per kilogram",3.45,Dollars,3.45,Dollars
2021-02,retail,chicken,"Whole chicken, per kilogram",5.44,Dollars,5.44,Dollars
2021-02,retail,chicken,"Chicken breasts, per kilogram",12.19,Dollars,12.19,Dollars
2021-02,retail,chicken,"Chicken thigh, per kilogram",11.06,Dollars,11.06,Dollars
2021-02,retail,chicken,"Chicken drumsticks, per kilogram",7.51,Dollars,7.51,Dollars
2021-02,retail,pork,"Bacon, 500 grams",5.8,Dollars,11.6,Dollars per kg
2021-02,retail,milk,"Milk, 1 litre",3.24,Dollars,3.24,Dollars per litre
2021-02,retail,milk,"Milk, 2 litres",4.87,Dollars,2.44,Dollars per litre
2021-02,retail,milk,"Milk, 4 litres",5.15,Dollars,1.29,Dollars per litre
2021-02,retail,egg,"Eggs, 1 dozen",3.8,Dollars,3.8,Dollars
2021-03,farm,beef,Steers for slaughter [111111113],141.21,Dollars per hundredweight,3.11,Dollars per kg
2021-03,farm,beef,Heifers for slaughter [111111114],139.25,Dollars per hundredweight,3.07,Dollars per kg
